Pokemon Name,Character Replacement,Type 1,Type 2,Detail,Note
Scyther,Tsurugi-R,Dark  ,,(Blue Arhive) normal,Move change
Jynx,,,,,
Electabuzz,,,,,
Magmar,,,,,
Pinsir,,,,,
Tauros,,,,,
Magikarp,Houshou marine-C,Water  ,,(Hololive) normal,
Gyarados,Houshou marine-SR,Water  ,Dark  ,(Hololive) bikini,Stats and move change
Lapras,,,,,
Ditto,,,,,
Eevee,,,,,
Vaporeon,,,,,
Jolteon,,,,,
Flareon,,,,,
Porygon,,,,,
Omanyte,,,,,
Omastar,,,,,
Kabuto,,,,,
Kabutops,,,,,
Aerodactyl,,,,,
Snorlax,,,,,
Articuno,,,,,
Zapdos,,,,,
Moltres,,,,,
Dratini,,,,,
Dragonair,,,,,
Dragonite,,,,,
Mewtwo,,,,,
Mew,,,,,
Chikorita,,,,,
Bayleef,,,,,
Meganium,,,,,
Cyndaquil,Yoko-C,Fire  ,,(Gurren lagann) normal,
Quilava,Yoko-R,Fire  ,Fighting  ,(Gurren lagann) swimsuit 1,Stats and move change
Typhlosion,Yoko-SR,Fire  ,Fighting  ,(Gurren lagann) swimsuit 2,Stats and move change
Totodile,Moe-C,Water  ,,(Blue Arhive) normal,
Croconaw,Moe-R,Water  ,Fire  ,(Blue Arhive) sport wear,Stats and move change
Feraligatr,Moe-SR,Water  ,Fire  ,(Blue Arhive) swimsuit,Stats and move change
Sentret,,,,,
Furret,,,,,
Hoothoot,,,,,
Noctowl,,,,,
Ledyba,,,,,
Ledian,,,,,
Spinarak,,,,,
Ariados,,,,,
Crobat,,,,,
Chinchou,,,,,
Lanturn,,,,,
Pichu,,,,,
Cleffa,,,,,
Igglybuff,Honoka-C,Normal  ,,(Doaxvv) normal,Stats and move change
Togepi,,,,,
Togetic,,,,,
Natu,,,,,
Xatu,,,,,
Mareep,,,,,
Flaaffy,,,,,
Ampharos,,,,,
Bellossom,,,,,
Marill,,,,,
Azumarill,,,,,
Sudowoodo,,,,,
Politoed,,,,,
Hoppip,,,,,
Skiploom,,,,,
Jumpluff,,,,,
Aipom,,,,,
Sunkern,,,,,
Sunflora,,,,,
Yanma,,,,,
Wooper,,,,,
Quagsire,,,,,
Espeon,Kisaki-SR,Psychic  ,,(Blue Arhive) normal,
Umbreon,Karin-SR,Dark  ,Flying  ,(Blue Arhive) bunny girl,Stats and move change
Murkrow,,,,,
Slowking,,,,,
Misdreavus,Marie-SR,Dark  ,Steel  ,(Doaxvv) normal,Stats and move change
Unown,,,,,
Wobbuffet,,,,,
Girafarig,,,,,
Pineco,,,,,
Forretress,,,,,
Dunsparce,,,,,
Gligar,,,,,
Steelix,,,,,
Snubbull,,,,,
Granbull,,,,,
Qwilfish,,,,,
Scizor,Tsurugi-SR,Dark  ,Steel  ,(Blue Arhive) normal,Move change
Shuckle,,,,,
Heracross,,,,,
Sneasel,,,,,
Teddiursa,,,,,
Ursaring,,,,,
Slugma,,,,,
Magcargo,,,,,
Swinub,,,,,
Piloswine,,,,,
Corsola,,,,,
Remoraid,Toki-R,Water  ,,(Blue Archive) normal,
Octillery,Toki-SR,Water  ,Electric  ,(Blue Archive) bunny girl,Stats and move change
Delibird,,,,,
Mantine,,,,,
Skarmory,,,,,
Houndour,I-no-C,Dark  ,Fire  ,(Guilty gear) normal,
Houndoom,I-no-SR,Dark  ,Fire  ,(Guilty gear) Shamisen I-No or Slingshot bikini,
Kingdra,Taihou-SR,Water,Dark  ,(Azur lane) bunny girl,Move change
Phanpy,,,,,
Donphan,,,,,
Porygon2,,,,,
Stantler,,,,,
Smeargle,,,,,
Tyrogue,,,,,
Hitmontop,,,,,
Smoochum,,,,,
Elekid,,,,,
Magby,,,,,
Miltank,,,,,
Blissey,Inoue-SR,Normal  ,,(Bleach) bikini,
Raikou,Yoruichi-L,Electric  ,Dark  ,(Bleach) God speed,Stats and move change
Entei,Rangiku-L,Fire  ,Ghost  ,(Bleach) normal,Stats and move change
Suicune,Tier harrible-L,Water  ,Ice  ,(Bleach) choptop,Stats and move change
Larvitar,,,,,
Pupitar,,,,,
Tyranitar,,,,,
Lugia,Satsuki-L,Psychic  ,Flying  ,(Kill la kill) battle form,
Ho-oh,Ryoko-L,Fire  ,Flying  ,(Kill la kill) battle form,
Celebi,Tsunade-L,Fighting  ,Grass  ,(Naruto) normal expose more,Stats and move change
Treecko,,,,,
Grovyle,,,,,
Sceptile,,,,,
Torchic,Tamaki-C,Fire  ,Fighting  ,(Fire force) orange fire fighter suit,
Combusken,Tamaki-R,Fire,Fighting  ,(Fire force) main costume with close jacket,
Blaziken,Tamaki-SR,Fire  ,Fighting  ,(Fire force) main costume with open jacket,
Mudkip,,Water,Ground,,
Marshtomp,,Water,Ground,,
Swampert,,Water,Ground,,
Poochyena,Shiroko-R,Dark  ,,(Blue Archive) normal,Stats change
Mightyena,Shiroko-SR,Dark  ,Electric  ,(Blue Archive) swimsuit,Stats and move change
Zigzagoon,Asuna-R,Normal  ,,(Blue Archive) normal,Stats and move change
Linoone,Asuna-SR,Normal  ,Electric  ,(Blue Archive) bunny girl,Stats and move change
Wurmple,Nyotengu-C,Dark  ,,(Doaxvv) normal,Stats and move change
Silcoon,Nyotengu-R-A,Dark  ,,(Doaxvv) black strive bikini with wing,Stats and move change
Beautifly,Nyotengu-SR-A,Dark  ,,(Doaxvv) sakimichan bikini style,Stats and move change
Cascoon,Nyotengu-R-B,Dark  ,,(Doaxvv) doaxvv bikini 1,Stats and move change
Dustox,Nyotengu-SR-B,Dark  ,,(Doaxvv) doaxvv bikini 1,Stats and move change
Lotad,,,,,
Lombre,,,,,
Ludicolo,,,,,
Seedot,,,,,
Nuzleaf,,,,,
Shiftry,,,,,
Taillow,,,,,
Swellow,,,,,
Wingull,,,,,
Pelipper,,,,,
Ralts,Nico Robin-C,Psychic,Grass  ,(One piece) normal,
Kirlia,Nico Robin-R,Psychic,Grass  ,(One piece) blue chop top sweater bikini bottom,
Gardevoir,Nico Robin-SR,Psychic,Grass  ,(One piece) splash style,
Surskit,,,,,
Masquerain,,,,,
Shroomish,,,,,
Breloom,,,,,
Slakoth,,,,,
Vigoroth,,,,,
Slaking,,,,,
Nincada,Ayane-C,Bug  ,,(Doaxvv) normal,Stats change
Ninjask,Ayane-R,Bug  ,Dark  ,(Doaxvv) swimsuit 1,Stats and move change
Shedinja,Ayane-SR,Bug  ,Ghost  ,(Doaxvv) swimsuit 2,Stats and move change
Whismur,,,,,
Loudred,,,,,
Exploud,,,,,
Makuhita,Nen Master-R,Fighting  ,,(DNFDuel) normal,
Hariyama,Nen Master-SR,Fighting  ,,(DNFDuel) bikini,
Azurill,,,,,
Nosepass,,,,,
Skitty,Tamaki-C,Water  ,,(Doaxvv) normal,Move change
Delcatty,Tamaki-SR,Water  ,,(Doaxvv) swimsuit,Move change
Sableye,,Dark,Ghost,,
Mawile,,Steel,,,
Aron,,,,,
Lairon,,,,,
Aggron,,Steel,Rock,,
Meditite,Millia-C,Fighting  ,Psychic  ,(Guilty gear) normal,Move change
Medicham,Millia-SR,Fighting  ,Psychic  ,(Guilty gear) Crop Jacket with micro bikini,Move change
Electrike,Giovanna-C,Dark  ,,(Guilty gear) normal,Move change
Manectric,Giovanna-SR,Dark  ,Electric  ,(Guilty gear) brazil bikini,Stats and move change
Plusle,Nozomi-SR,Electric  ,,(Blue Archive) normal,Stats and move change
Minun,Hikari-SR,Electric  ,,(Blue Archive) normal,Stats and move change
Volbeat,,,,,
Illumise,,,,,
Roselia,,,,,
Gulpin,,,,,
Swalot,,,,,
Carvanha,Gawr gura-C,Water  ,Dark  ,(Hololive) normal,
Sharpedo,Gawr gura-SR,Water  ,Dark  ,(Hololive) bikini,
Wailmer,,,,,
Wailord,,,,,
Numel,,,,,
Camerupt,,,,,
Torkoal,,,,,
Spoink,Bonney-C,Normal  ,Psychic  ,(One piece) normal,Move change
Grumpig,Bonney-SR,Normal  ,Psychic  ,(One piece) figure bikini,Move change
Spinda,,,,,
Trapinch,,,,,
Vibrava,,,,,
Flygon,,Ground,Dragon,,
Cacnea,,,,,
Cacturne,,,,,
Swablu,Uta-R,Psychic  ,,(One piece) normal,Stats and move change
Altaria,Uta-SR,Psychic  ,Flying,(One piece) final form,Stats and move change
Zangoose,,,,,
Seviper,Reiji-SR,Poison  ,Steel  ,(One piece) normal,Stats and move change
Lunatone,,,,,
Solrock,,,,,
Barboach,,,,,
Whiscash,,,,,
Corphish,New jersey-R,Water,Dragon  ,(Azur lane) normal,Stats and move change
Crawdaunt,New jersey-SR,Water,Dragon  ,(Azur lane) bikini,Stats and move change
Baltoy,Ramlethal-R,Steel  ,Psychic  ,(Guilty gear) normal,Move change
Claydol,Ramlethal-SR,Steel  ,Psychic  ,(Guilty gear) reverse bunny suit,Stats and move change
Lileep,,,,,
Cradily,,,,,
Anorith,,,,,
Armaldo,,,,,
Feebas,Hancock-R,Psychic  ,Water  ,(One piece) violet dress,Move change
Milotic,Hancock-SR,Psychic  ,Water  ,(One piece) red dress with center open,Move change
Castform,Nami-SR,Normal  ,,(One piece) bikini,Stats and move change
Kecleon,,,,,
Shuppet,Jack-o-Valentine-C,Ghost  ,,(Guilty gear) normal,Stats change
Banette,Jack-o-Valentine-SR,Ghost  ,,(Guilty gear) valentine gift,Stats and move change
Duskull,,,,,
Dusclops,,,,,
Tropius,,,,,
Chimecho,Amy-SR,Psychic  ,,(Doaxvv) normal,Stats and move change
Absol,Baiken-SR,Dark  ,,(Guilty gear) normal,Stats and move change
Wynaut,,,,,
Snorunt,Rukia-R,Ice  ,,(Bleach) normal,
Glalie,Rukia-SR,Ice  ,,(Bleach) bankai,Stats change
Spheal,,,,,
Sealeo,,,,,
Walrein,,,,,
Clamperl,,,,,
Huntail,,,,,
Gorebyss,,,,,
Relicanth,,,,,
Luvdisc,,,,,
Bagon,Nelliel-C,Dragon,,(Bleach) child from,
Shelgon,Nelliel-R,Dragon,,(Bleach) normal,
Salamence,Nelliel-SR,Dragon,Flying,(Bleach) bikini,
Beldum,,,,,
Metang,,,,,
Metagross,,,,,
Regirock,,,,,
Regice,,,,,
Registeel,Lilith-L,Steel  ,Electric  ,(One piece) normal,Stats and move change
Latias,Vivi-L,Water  ,Psychic  ,(One piece) bikini,Stats and move change
Latios,Rebecca-L,Dragon  ,Steel  ,(One piece) bikini warrior,Stats and move change
Kyogre,,Water,,,
Groudon,,Ground,,,
Rayquaza,,Dragon,Flying,,
Jirachi,,,,,
Deoxys,,Psychic,,,
